osm_id,nome,cognome,data_nascita,cod_fisc
70,Benedetta,Mazzoli,1965-03-26 21:17:17.098038,MZZLBNDTT65C66A088
71,Renato,Colombo,1980-06-21 21:17:17.098038,CLMBRNT80H21A089
72,Bianca,Mancini,1990-10-07 21:17:17.098038,MNCNBNC90R7A091
73,Salvatore,Rosati,1980-12-30 21:17:17.098038,RSTSLVTR80T70A092
74,Carlotta,De Luca,1975-12-10 21:17:17.098038,DLCCRLTT75T10A093
75,Giulio,Costa,1994-06-21 21:17:17.098038,CSTGL94H61A096
76,Letizia,Gallo,1997-12-31 21:17:17.098038,GLLLTZ97T71A097
77,Pietro,Santoro,1968-11-09 21:17:17.098038,SNTRPTR68S49A098
78,Roberta,Caputo,2001-09-11 21:17:17.098038,CPTRBRT01P51A100
79,Giorgio,D'Angelo,1991-09-11 21:17:17.098038,DNGLGRG91P11A102
80,Alessia,Benedetto,1994-03-18 21:17:17.098038,BNDTTLSS94C58A103
81,Danilo,Marchetti,1994-05-16 21:17:17.098038,MRCHTTDNL94E16A101
82,Elena,D'Amico,1966-07-06 21:17:17.098038,DMCLN66L6A105
83,Umberto,Moretti,1982-01-17 21:17:17.098038,MRTTMBRT82A17A106
84,Aurora,Silvestri,1979-02-14 21:17:17.098038,SLVSTRRR79B54A107
85,Fernando,Rinaldi,2001-08-24 21:17:17.098038,RNLDFRNND01M64A109
86,Giuliana,Montanari,1973-04-14 21:17:17.098038,MNTNRGLN73D54A110
87,Dario,Caruso,1976-03-16 21:17:17.098038,CRSDR76C56A111
88,Ginevra,Gatti,1978-12-24 21:17:17.098038,GTTGNVR78T24A112
89,Rocco,Battaglia,1964-01-16 21:17:17.098038,BTTGLRCC64A16A113
90,Carlotta,Silvestri,1992-12-29 21:17:17.098038,SLVSTRCRLTT92T29A116
91,Gino,Palumbo,1983-12-19 21:17:17.098038,PLMBGN83T59A117
92,Eleonora,Fiore,1990-04-08 21:17:17.098038,FRLNR90D8A115
93,Renzo,Sartori,1988-02-03 21:17:17.098038,SRTRRNZ88B43A118
94,Serena,Damico,1992-10-21 21:17:17.098038,DMCSRN92R61A119
95,Dante,Villa,1973-04-02 21:17:17.098038,VLLDNT73D42A120
96,Gabriella,Coppola,1982-02-15 21:17:17.098038,CPPLGBRLL82B55A121
97,Giosuè,Farina,1992-04-11 21:17:17.098038,FRNGS92D51A122
98,Giovanna,Lombardo,1968-04-21 21:17:17.098038,LMBRDGVNN68D61A123
99,Marcello,Mariani,1964-04-22 21:17:17.098038,MRNMRCLL64D22A124
100,Giada,Ferri,1995-08-26 21:17:17.098038,FRRGD95M66A125
101,Achille,Monti,1996-12-03 21:17:17.098038,MNTCHLL96T43A126
102,Lucrezia,Neri,1988-10-19 21:17:17.098038,NRLCRZ88R59A127
103,Agostino,Pellegrini,1969-02-24 21:17:17.098038,PLLGRNGSTN69B64A128
104,Tiziana,Basile,1983-02-06 21:17:17.098038,BSLTZN83B6A131
105,Alfonso,Rossetti,1976-06-19 21:17:17.098038,RSSTTLFNS76H59A132
106,Rachele,Graziani,1990-12-06 21:17:17.098038,GRZNRCHL90T46A129
107,Armando,Palmieri,1983-09-03 21:17:17.098038,PLMRRMND83P43A130
108,Teresa,Donati,1970-07-23 21:17:17.098038,DNTTRS70L63A134
109,Augusto,Martino,1989-01-08 21:17:17.098038,MRTNGST89A48A137
110,Antonella,Rizzi,2003-06-28 21:17:17.098038,RZZNTNLL03H68A135
111,Brando,Vitale,1985-11-02 21:17:17.098038,VTLBRND85S42A138
112,Paola,De Angelis,1974-02-16 21:17:17.098038,DNGLSPL74B56A139
113,Calogero,Serra,1968-11-28 21:17:17.098038,SRRCLGR68S28A143
114,Livia,Testa,1987-03-11 21:17:17.098038,TSTLV87C11A145
115,Carmelo,Piazza,1969-04-25 21:17:17.098038,PZZCRML69D65A146
116,Noemi,Ferraro,1990-04-06 21:17:17.098038,FRRRNM90D6A149
117,Ciro,Valentini,2004-09-12 21:17:17.098038,VLNTNCR04P12A150
118,Ambra,Bianchini,1977-01-17 21:17:17.098038,BNCHNMBR77A57A153
119,Costantino,Benedetti,1992-02-28 21:17:17.098038,BNDTTCSTNTN92B28A154
120,Arianna,Parisi,1983-10-26 21:17:17.098038,PRSRNN83R26A155
121,Damiano,Sacco,1995-12-26 21:17:17.098038,SCCDMN95T26A158
122,Celeste,De Rosa,1985-07-01 21:17:17.098038,DRSCLST85L1A157
123,Daniele,Ferretti,1970-11-15 21:17:17.098038,FRRTTDNL70S15A159
124,Donatella,Morelli,2001-02-17 21:17:17.098038,MRLLDNTLL01B17A160
125,Domenico,Lombardi,1969-09-13 21:17:17.098038,LMBRDDMNC69P13A161
126,Elettra,Russo,1985-10-12 21:17:17.098038,RSSLTTR85R52A162
127,Emidio,Contini,1972-02-24 21:17:17.098038,CNTNMD72B64A163
128,Emanuela,Mazzoli,2002-12-10 21:17:17.098038,MZZLMNL02T10A164
129,Emilio,Rosati,1975-11-12 21:17:17.098038,RSTML75S52A166
130,Fiorella,De Luca,1994-06-27 21:17:17.098038,DLCFRLL94H67A165
131,Ercole,Costa,1973-02-08 21:17:17.098038,CSTRCL73B48A167
132,Flavia,Gallo,1987-01-22 21:17:17.098038,GLLFLV87A22A171
133,Ernesto,Santoro,1964-08-18 21:17:17.098038,SNTRRNST64M18A172
134,Francesca,Caputo,2004-07-11 21:17:17.098038,CPTFRNCSC04L11A173
135,Ezio,D'Angelo,2003-06-29 21:17:17.098038,DNGLZ03H29A175
136,Gaia,Benedetto,1996-01-16 21:17:17.098038,BNDTTG96A16A176
137,Fabiano,Marchetti,2005-11-24 21:17:17.098038,MRCHTTFBN05S24A177
138,Gilda,D'Amico,1982-07-06 21:17:17.098038,DMCGLD82L6A178
139,Fabrizio,Moretti,1984-01-07 21:17:17.098038,MRTTFBRZ84A47A179
140,Grazia,Silvestri,1983-08-01 21:17:17.098038,SLVSTRGRZ83M1A180
141,Federico,Rinaldi,1984-04-11 21:17:17.098038,RNLDFDRC84D11A182
142,Ilaria,Montanari,1974-08-11 21:17:17.098038,MNTNRLR74M11A183
143,Ferruccio,Caruso,1987-04-07 21:17:17.098038,CRSFRRCC87D47A181
144,Imma,Gatti,2004-03-14 21:17:17.098038,GTTMM04C54A184
145,Filippo,Battaglia,1975-04-19 21:17:17.098038,BTTGLFLPP75D19A185
146,Jolanda,Silvestri,1990-03-06 21:17:17.098038,SLVSTRJLND90C46A186
147,Fortunato,Palumbo,2005-04-17 21:17:17.098038,PLMBFRTNT05D17A187
148,Letizia,Fiore,1985-08-13 21:17:17.098038,FRLTZ85M53A188
149,Fulvio,Sartori,1976-01-31 21:17:17.098038,SRTRFLV76A71A189
150,Loredana,Damico,1968-08-11 21:17:17.098038,DMCLRDN68M11A191
151,Gavino,Villa,1966-12-24 21:17:17.098038,VLLGVN66T24A192
152,Maddalena,Coppola,1973-12-04 21:17:17.098038,CPPLMDDLN73T4A193
153,Gennaro,Farina,1981-03-24 21:17:17.098038,FRNGNNR81C24A194
154,Marcella,Lombardo,1980-07-27 21:17:17.098038,LMBRDMRCLL80L67A201
155,Gerardo,De Santis,1979-01-18 21:17:17.098038,DSNTSGRRD79A58A195
156,Maria,Bernardi,1968-07-21 21:17:17.098038,BRNRDMR68L61A196
157,Giacomo,Fiore,1966-01-10 21:17:17.098038,FRGCM66A50A197
158,Marilena,Mancini,1991-09-11 21:17:17.098038,MNCNMRLN91P51A198
159,Giancarlo,Rizzo,2002-06-20 21:17:17.098038,RZZGNCRL02H60A200
160,Marina,Mariani,2002-11-02 21:17:17.098038,MRNMRN02S42A202
161,Gianluca,Carbone,1986-07-30 21:17:17.098038,CRBNGNLC86L30A203
162,Maura,Ruggiero,1973-07-10 21:17:17.098038,RGGRMR73L10A204
163,Gianmarco,Sorrentino,1977-01-09 21:17:17.098038,SRRNTNGNMRC77A49A206
164,Milena,Ferro,1994-05-16 21:17:17.098038,FRRMLN94E56A205
165,Gianpaolo,Fabbri,1972-02-20 21:17:17.098038,FBBRGNPL72B20A207
166,Miranda,Napolitano,1966-01-20 21:17:17.098038,NPLTNMRND66A20A208
167,Giordano,Bianco,1983-09-08 21:17:17.098038,BNCGRDN83P8A210
168,Monica,Russo,2003-06-18 21:17:17.098038,RSSMNC03H58M397
169,Giosuè,Moretti,1981-06-10 21:17:17.098038,MRTTGS81H10A214
170,Nadia,Martinelli,1997-03-15 21:17:17.098038,MRTNLLND97C55A216
171,Giuliano,Riva,1974-07-11 21:17:17.098038,RVGLN74L11A217
172,Natalia,Guerra,1984-11-16 21:17:17.098038,GRRNTL84S16A218
173,Giuseppe,De Angelis,2003-02-22 21:17:17.098038,DNGLSGSPP03B22A220
174,Nella,Palumbo,1999-10-18 21:17:17.098038,PLMBNLL99R58M375
175,Graziano,Pagano,1972-03-16 21:17:17.098038,PGNGRZN72C56A221
176,Nicoletta,Martino,2004-03-19 21:17:17.098038,MRTNNCLTT04C19A222
177,Gregorio,Pellegrino,1985-08-28 21:17:17.098038,PLLGRNGRGR85M68A223
178,Nunzia,Giordano,1977-07-24 21:17:17.098038,GRDNNNZ77L64A224
179,Italo,Testa,1988-02-12 21:17:17.098038,TSTTL88B52M386
180,Oriana,Martini,1999-05-16 21:17:17.098038,MRTNRN99E56M383
181,Ivano,Bernardini,1968-05-29 21:17:17.098038,BRNRDNVN68E29A225
182,Patrizia,Messina,1988-10-26 21:17:17.098038,MSSNPTRZ88R26A226
183,Jacopo,Pugliese,2001-07-10 21:17:17.098038,PGLSJCP01L50M349
184,Piera,Esposito,1996-11-07 21:17:17.098038,SPSTPR96S47A228
185,Lazzaro,D'Amore,1971-06-12 21:17:17.098038,DMRLZZR71H52A229
186,Pierina,Pinto,1985-01-15 21:17:17.098038,PNTPRN85A15A227
187,Leandro,Benedetti,1966-02-25 21:17:17.098038,BNDTTLNDR66B65A230
188,Raffaella,Ferrara,1970-04-15 21:17:17.098038,FRRRRFFLL70D15A231
189,Liberato,Rizzo,1981-12-23 21:17:17.098038,RZZLBRT81T23A233
190,Romina,Longo,1973-07-11 21:17:17.098038,LNGRMN73L51A234
191,Lorenzo,Barbieri,1994-02-06 21:17:17.098038,BRBRLRNZ94B6A235
192,Rosalba,Amato,1995-08-11 21:17:17.098038,MTRSLB95M11A236
193,Luciano,Leone,1984-10-30 21:17:17.098038,LNLCN84R30A237
194,Rosalia,Orlando,2004-03-07 21:17:17.098038,RLNDRSL04C7A238
195,Luigi,Barone,1981-04-07 21:17:17.098038,BRNLG81D47M369
196,Rossana,Montagna,1964-07-15 21:17:17.098038,MNTGNRSSN64L15M389
197,Marco,Caputo,1992-10-07 21:17:17.098038,CPTMRC92R47A239
198,Rossella,Rizzo,1977-01-22 21:17:17.098038,RZZRSSLL77A22A240
199,Andrea,Rossati,1998-08-09 21:17:17.098038,RSSTNDR98M9A241
200,Rosalinda,Bianco,1992-04-17 21:17:17.098038,BNCRSLND92D57M350
201,Marino,Bruno,1969-08-28 21:17:17.098038,BRNMRN69M68A242
202,Sabrina,Caruso,1964-05-29 21:17:17.098038,CRSSBRN64E69A243
203,Mario,Colombo,1987-10-11 21:17:17.098038,CLMBMR87R51A244
204,Serena,Coppola,1982-10-28 21:17:17.098038,CPPLSRN82R28A246
205,Marzio,Costa,1970-08-12 21:17:17.098038,CSTMRZ70M52A245
206,Silvana,De Luca,1978-02-10 21:17:17.098038,DLCSLVN78B50A249
207,Massimiliano,De Santis,1966-04-05 21:17:17.098038,DSNTSMSSMLN66D5A251
208,Silvia,Donati,1998-02-15 21:17:17.098038,DNTSLV98B15A252
209,Maurizio,Esposito,2005-04-05 21:17:17.098038,SPSTMRZ05D45A253
210,Simona,Farina,1982-05-05 21:17:17.098038,FRNSMN82E45A254
211,Michele,Fabbri,1997-06-08 21:17:17.098038,FBBRMCHL97H48A255
212,Stefania,Ferri,1989-07-11 21:17:17.098038,FRRSTFN89L51A256
213,Nazzareno,Ferrara,1990-12-04 21:17:17.098038,FRRRNZZRN90T4A257
214,Stefania,Ferrari,1971-01-22 21:17:17.098038,FRRRSTFN71A62A258
215,Nazario,Fiore,1999-06-08 21:17:17.098038,FRNZR99H48A259
216,Susanna,Fontana,1968-02-25 21:17:17.098038,FNTNSSNN68B65M351
217,Nicola,Gallo,2005-10-21 21:17:17.098038,GLLNCL05R61A261
218,Teresa,Gatti,1989-09-04 21:17:17.098038,GTTTRS89P4A262
219,Orazio,Graziani,1983-03-02 21:17:17.098038,GRZNRZ83C2A263
220,Tiziana,Greco,1968-06-09 21:17:17.098038,GRCTZN68H9A264
221,Ottavio,Leone,1997-10-30 21:17:17.098038,LNTTV97R30A265
222,Valentina,Lombardi,1967-12-04 21:17:17.098038,LMBRDVLNTN67T4A267
223,Pasquale,Mancini,2002-08-12 21:17:17.098038,MNCNPSQL02M52A268
224,Valeria,Mariani,1972-09-28 21:17:17.098038,MRNVLR72P28A269
225,Patrizio,Martini,1996-12-25 21:17:17.098038,MRTNPTRZ96T65A270
226,Vanessa,Marini,1964-09-18 21:17:17.098038,MRNVNSS64P58A271
227,Pietro,Marino,1978-03-10 21:17:17.098038,MRNPTR78C10A272
228,Vera,Martino,1982-07-17 21:17:17.098038,MRTNVR82L17A274
229,Pompeo,Morelli,2004-01-29 21:17:17.098038,MRLLPMP04A69A273
230,Vittoria,Moretti,1978-12-02 21:17:17.098038,MRTTVTTR78T2A275
231,Primo,Neri,1981-01-09 21:17:17.098038,NRPRM81A9A278
232,Vittoria,Palmieri,1996-05-27 21:17:17.098038,PLMRVTTR96E27A280
233,Prospero,Palumbo,1965-12-23 21:17:17.098038,PLMBPRSPR65T23A281
234,Vittoria,Parisi,1972-10-14 21:17:17.098038,PRSVTTR72R54A282
235,Raffaele,Piazza,1977-05-22 21:17:17.098038,PZZRFFL77E22A283
236,Vittoria,Pellegrini,2002-12-15 21:17:17.098038,PLLGRNVTTR02T15A284
237,Raimondo,Rinaldi,1971-10-27 21:17:17.098038,RNLDRMND71R67A285
238,Vittoria,Riva,1977-07-19 21:17:17.098038,RVVTTR77L59A286
239,Raniero,Rizzi,1999-02-20 21:17:17.098038,RZZRNR99B20A287
240,Vittoria,Romano,1997-02-14 21:17:17.098038,RMNVTTR97B54A288
241,Remigio,Rossetti,1973-06-30 21:17:17.098038,RSSTTRMG73H30A290
242,Vittoria,Ruggiero,1980-01-25 21:17:17.098038,RGGRVTTR80A25A291
243,Renato,Russo,1989-05-09 21:17:17.098038,RSSRNT89E49A292
244,Vittoria,Sacco,1980-03-30 21:17:17.098038,SCCVTTR80C70A293
245,Riccardo,Sartori,1972-03-28 21:17:17.098038,SRTRRCCRD72C28A294
246,Vittoria,Santoro,1983-01-21 21:17:17.098038,SNTRVTTR83A21A295
247,Roberto,Sorrentino,1972-04-13 21:17:17.098038,SRRNTNRBRT72D53A297
248,Vittoria,Silvestri,1984-05-04 21:17:17.098038,SLVSTRVTTR84E4A296
249,Rocco,Testa,1965-03-22 21:17:17.098038,TSTRCC65C62A299
250,Vittoria,Valentini,1985-08-02 21:17:17.098038,VLNTNVTTR85M42A301
251,Rodolfo,Villa,1972-09-14 21:17:17.098038,VLLRDLF72P54A302
252,Vittoria,Amato,1975-11-19 21:17:17.098038,MTVTTR75S59A303
253,Rocco,Barbieri,1964-04-22 21:17:17.098038,BRBRRCC64D62A304
254,Vittoria,Basile,2003-05-02 21:17:17.098038,BSLVTTR03E42A306
255,Rolando,Bernardi,2003-07-09 21:17:17.098038,BRNRDRLND03L49A305
256,Vittoria,Caputo,1974-12-09 21:17:17.098038,CPTVTTR74T9A309
257,Romano,Carbone,1987-01-01 21:17:17.098038,CRBNRMN87A41A312
258,Vittoria,Conti,1994-09-28 21:17:17.098038,CNTVTTR94P68A313
259,Romeo,Coppola,1977-03-02 21:17:17.098038,CPPLRM77C42A314
260,Vittoria,Damico,1996-09-25 21:17:17.098038,DMCVTTR96P65A315
261,Romualdo,De Angelis,1987-07-12 21:17:17.098038,DNGLSRMLD87L52A317
262,Vittoria,De Rosa,1987-03-13 21:17:17.098038,DRSVTTR87C13A318
263,Rosario,De Luca,1966-10-11 21:17:17.098038,DLCRSR66R51A319
264,Vittoria,D'Angelo,1964-04-26 21:17:17.098038,DNGLVTTR64D26A320
265,Ruggero,D'Amico,1993-10-07 21:17:17.098038,DMCRGGR93R7A321
266,Vittoria,D'Amore,1993-04-01 21:17:17.098038,DMRVTTR93D41A323
267,Salvatore,De Santis,2000-07-27 21:17:17.098038,DSNTSSLVTR00L67A325
268,Vittoria,Donati,1984-03-16 21:17:17.098038,DNTVTTR84C56A324
269,Samuele,Farina,1967-07-23 21:17:17.098038,FRNSML67L23A326
270,Vittoria,Ferraro,1971-12-21 21:17:17.098038,FRRRVTTR71T21A327
271,Sandro,Ferro,1980-09-01 21:17:17.098038,FRRSNDR80P41A328
272,Vittoria,Fontana,1997-02-02 21:17:17.098038,FNTNVTTR97B42A329
273,Santino,Gallo,1997-01-09 21:17:17.098038,GLLSNTN97A49A330
274,Vittoria,Gatti,1995-08-11 21:17:17.098038,GTTVTTR95M11A333
275,Santo,Giordano,1992-10-25 21:17:17.098038,GRDNSNT92R65A332
276,Vittoria,Grassi,1984-08-04 21:17:17.098038,GRSSVTTR84M44A334
277,Sebastiano,Greco,1981-03-24 21:17:17.098038,GRCSBSTN81C64A335
278,Vittoria,Guerra,1969-01-02 21:17:17.098038,GRRVTTR69A2A337
279,Secondo,Lombardo,1991-05-07 21:17:17.098038,LMBRDSCND91E7A338
280,Vittoria,Longo,1988-07-19 21:17:17.098038,LNGVTTR88L59A339
281,Sergio,Marino,1991-04-18 21:17:17.098038,MRNSRG91D18A340
282,Vittoria,Martini,1974-05-04 21:17:17.098038,MRTNVTTR74E4A341
283,Silvano,Martinelli,1993-02-10 21:17:17.098038,MRTNLLSLVN93B50A343
284,Vittoria,Mariani,1967-03-10 21:17:17.098038,MRNVTTR67C50A344
285,Silverio,Mazzola,2005-01-20 21:17:17.098038,MZZLSLVR05A20A346
286,Vittoria,Mazzoli,1992-09-28 21:17:17.098038,MZZLVTTR92P28A347
287,Siro,Messina,1986-11-29 21:17:17.098038,MSSNSR86S29A348
288,Vittoria,Montagna,1996-04-13 21:17:17.098038,MNTGNVTTR96D13A350
289,Stefano,Montanari,1967-05-26 21:17:17.098038,MNTNRSTFN67E26A351
290,Vittoria,Napolitano,1985-04-26 21:17:17.098038,NPLTNVTTR85D66A352
291,Taddeo,Pagano,1993-11-16 21:17:17.098038,PGNTDD93S16A354
292,Vittoria,Pellegrini,1970-01-08 21:17:17.098038,PLLGRNVTTR70A48A357
293,Terenzio,Piazza,1992-08-27 21:17:17.098038,PZZTRNZ92M67A358
294,Vittoria,Pinto,1984-04-09 21:17:17.098038,PNTVTTR84D49A359
295,Tiberio,Pugliese,1977-01-14 21:17:17.098038,PGLSTBR77A54A360
296,Vittoria,Riva,1986-08-08 21:17:17.098038,RVVTTR86M48A363
297,Tiburzio,Rizzi,1972-07-31 21:17:17.098038,RZZTBRZ72L71A365
298,Vittoria,Rizzo,1965-04-24 21:17:17.098038,RZZVTTR65D24A366
299,Timoteo,Romano,1970-04-29 21:17:17.098038,RMNTMT70D29A367
300,Vittoria,Rossetti,1995-12-25 21:17:17.098038,RSSTTVTTR95T25A369
301,Tito,Ruggiero,2000-08-21 21:17:17.098038,RGGRTT00M61A370
302,Vittoria,Russo,1999-06-23 21:17:17.098038,RSSVTTR99H63A371
303,Tommaso,Sacco,1980-06-18 21:17:17.098038,SCCTMMS80H18A372
304,Vittoria,Sartori,1969-03-23 21:17:17.098038,SRTRVTTR69C63A373
305,Tonino,Serra,2000-11-30 21:17:17.098038,SRRTNN00S30A374
306,Vittoria,Silvestri,1980-04-19 21:17:17.098038,SLVSTRVTTR80D19A375
307,Ubaldo,Sorrentino,2002-01-15 21:17:17.098038,SRRNTNBLD02A55A376
308,Vittoria,Testa,1972-12-08 21:17:17.098038,TSTVTTR72T8A377
309,Uberto,Valentini,1967-11-27 21:17:17.098038,VLNTNBRT67S67A379
310,Vittoria,Villa,1980-12-27 21:17:17.098038,VLLVTTR80T27A380
311,Ugo,Vitale,1992-12-20 21:17:17.098038,VTLG92T60M213
312,Vittoria,Amato,1983-04-12 21:17:17.098038,MTVTTR83D52A382
313,Ulisse,Barbieri,1978-03-29 21:17:17.098038,BRBRLSS78C29A383
314,Vittoria,Basile,1985-04-19 21:17:17.098038,BSLVTTR85D59A385
315,Urbano,Bernardi,1971-09-24 21:17:17.098038,BRNRDRBN71P24A386
316,Vittoria,Caputo,2002-11-08 21:17:17.098038,CPTVTTR02S8A387
317,Valentino,Carbone,1973-12-14 21:17:17.098038,CRBNVLNTN73T14A388
318,Vittoria,Conti,1970-09-05 21:17:17.098038,CNTVTTR70P45A389
319,Valerio,Coppola,1972-11-07 21:17:17.098038,CPPLVLR72S7A390
320,Vittoria,Damico,1987-06-11 21:17:17.098038,DMCVTTR87H51A391
321,Vanni,De Angelis,1975-08-16 21:17:17.098038,DNGLSVNN75M56A392
322,Vittoria,De Rosa,1973-08-13 21:17:17.098038,DRSVTTR73M13A393
323,Vincenzo,De Luca,1965-06-16 21:17:17.098038,DLCVNCNZ65H56A394
324,Vittoria,D'Angelo,2003-12-16 21:17:17.098038,DNGLVTTR03T16A396
325,Vitale,D'Amico,2003-01-10 21:17:17.098038,DMCVTL03A10A397
326,Vittoria,D'Amore,1975-07-11 21:17:17.098038,DMRVTTR75L51A398
327,Vittorio,De Santis,1969-05-18 21:17:17.098038,DSNTSVTTR69E58A399
328,Vittoria,Donati,1976-08-26 21:17:17.098038,DNTVTTR76M66A400
329,Vittore,Farina,1980-05-02 21:17:17.098038,FRNVTTR80E2A401
330,Vittoria,Ferraro,1986-07-02 21:17:17.098038,FRRRVTTR86L2A402
331,Zaccheo,Ferro,1992-08-10 21:17:17.098038,FRRZCCH92M50A403
332,Vittoria,Fontana,1987-05-23 21:17:17.098038,FNTNVTTR87E23A405
