nome;cognome;nascita;osm_id;
Gabriele;Gallo;A719;180989579;
Greta;Santoro;A721;180989580;
Alessandro;Caputo;A722;180989581;
Giorgia;D'Angelo;A725;180989583;
Giuseppe;Benedetto;A728;180990424;
Valentina;Marchetti;A729;180990425;
Edoardo;D'Amico;A730;180990426;
Elena;Moretti;A731;180990427;
Giovanni;Silvestri;A732;180990428;
Beatrice;Rinaldi;A733;180990429;
Davide;Montanari;A734;180990430;
Giuliana;Caruso;A735;180990431;
Federico;Gatti;A736;180990432;
Sara;Battaglia;A737;180990433;
Alessio;Silvestri;A740;185124196;
Eleonora;Palumbo;A739;185124197;
Antonio;Fiore;A738;185124198;
Vittoria;Sartori;A741;185124199;
Tommaso;Damico;A742;185124200;
Francesca;Villa;A743;185124201;
Simone;Coppola;M335;185125542;
Carolina;Farina;A745;188320108;
Marco;Lombardo;A746;188320109;
Chiaretta;Mariani;A747;188320111;
Filippo;Ferri;A749;188320112;
Teresa;Monti;A750;188320115;
Michele;Neri;A751;188320117;
Angelica;Pellegrini;A752;188320588;
Mattia;Basile;M294;188320589;
Caterina;Rossetti;A755;188320944;
Stefano;Graziani;A756;188321884;
Ludovica;Palmieri;A757;188374358;
Christian;Donati;A759;188374362;
Irene;Martino;A762;188374366;
Niccolò;Rizzi;A763;188377459;
Rebecca;Vitale;A761;188377461;
Raffaele;De Angelis;A765;188377462;
Elisa;Serra;A764;188377464;
Daniele;Testa;A760;188377469;
Veronica;Piazza;A766;188377471;
Fabio;Ferraro;A768;188377473;
Gloria;Valentini;A772;188380769;
Paolo;Bianchini;A774;188380780;
Benedetta;Benedetti;A773;188382218;
Enrico;Parisi;A769;188382220;
Adelaide;Sacco;A770;188382224;
Manuel;De Rosa;A776;188382225;
Rosanna;Ferretti;A777;188387476;
Vincenzo;Morelli;A778;188387481;
Marika;Lombardi;A779;188388806;
Valerio;Russo;A780;188388807;
Marta;Contini;A781;188388808;
Cristiano;Mazzoli;A782;188388809;
Isabella;Rosati;A783;188388810;
Michele;De Luca;A784;188388811;
Angelina;Costa;A785;188388812;
Massimo;Gallo;A786;188388813;
Benedetta;Santoro;A787;188388814;
Renato;Caputo;A788;188388815;
Bianca;D'Angelo;A789;188389157;
Salvatore;Benedetto;A791;188389158;
Carlotta;Marchetti;A792;188389160;
Giulio;D'Amico;A793;191638584;
Letizia;Moretti;A794;191638645;
Pietro;Silvestri;A795;191694470;
Roberta;Rinaldi;A796;191712311;
Giorgio;Montanari;A798;191712312;
Alessia;Caruso;A799;191712313;
Danilo;Gatti;A801;196602310;
Elena;Battaglia;A802;198051041;
Umberto;Silvestri;A804;198051043;
Aurora;Palumbo;A805;198051044;
Fernando;Fiore;A809;198051045;
Giuliana;Sartori;A810;198051046;
Dario;Damico;A811;198051745;
Ginevra;Villa;A812;198051746;
Rocco;Coppola;A813;198051747;
Carlotta;Farina;A816;198051748;
Gino;Lombardo;A817;198051749;
Eleonora;De Santis;A815;198051750;
Renzo;Bernardi;A818;198051751;
Serena;Fiore;A819;198051752;
Dante;Mancini;A820;198051753;
Gabriella;Rizzo;A821;198051754;
Giosuè;Mariani;A823;198051755;
Giovanna;Carbone;A825;198051756;
Marcello;Ruggiero;A826;198051757;
Giada;Sorrentino;A827;198051759;
Achille;Ferro;A831;198051760;
Lucrezia;Fabbri;A832;198051761;
Agostino;Napolitano;A834;198051762;
Tiziana;Bianco;A835;198051763;
Alfonso;Russo;A836;198051765;
Rachele;Moretti;A837;198051766;
Armando;Martinelli;A841;210630876;
Teresa;Riva;A842;210631404;
Augusto;Guerra;A843;210821334;
Antonella;De Angelis;A844;210821335;
Brando;Palumbo;A845;210823614;
Paola;Pagano;A846;210823615;
Calogero;Martino;A847;210823616;
Livia;Pellegrino;A848;217548307;
Carmelo;Giordano;A849;217548308;
Noemi;Testa;A850;217548309;
Ciro;Martini;A851;218244101;
Ambra;Bernardini;A852;218998183;
Costantino;Messina;A853;230063386;
Arianna;Pugliese;A854;230063387;
Damiano;Esposito;A855;230063388;
Celeste;D'Amore;A856;232545240;
Daniele;Pinto;A859;240414531;
Donatella;Benedetti;A861;240414532;
Domenico;Ferrara;A863;240414533;
Elettra;Rizzo;A864;240414534;
Emidio;Longo;A870;240415219;
Emanuela;Barbieri;A872;240415220;
Emilio;Amato;A874;240415221;
Fiorella;Leone;A876;240415222;
Ercole;Orlando;A877;240415223;
Flavia;Barone;A878;240415224;
Ernesto;Montagna;A880;240415225;
Francesca;Caputo;A881;240415226;
Ezio;Rizzo;A882;241552152;
Gaia;Rossati;A883;241552153;
Fabiano;Bianco;A884;241552976;
Gilda;Bruno;A885;241553350;
Fabrizio;Caruso;A887;241553351;
Grazia;Colombo;A889;241553352;
Federico;Coppola;A891;241553354;
Ilaria;Costa;A892;241553355;
Ferruccio;De Luca;A893;241553356;
Imma;De Santis;A894;241553357;
Filippo;Donati;A895;241553358;
Jolanda;Esposito;A896;241553359;
Fortunato;Farina;A897;241553360;
Letizia;Fabbri;A898;241553361;
Fulvio;Ferri;A902;241613197;
Loredana;Ferrara;A903;242678828;
Gavino;Ferrari;A857;242824420;
Maddalena;Fiore;A904;242824629;
Gennaro;Fontana;A905;242824630;
Marcella;Gallo;M268;242824631;
Gerardo;Gatti;A906;242824632;
Maria;Graziani;A909;242824633;
Giacomo;Greco;A910;243275115;
Marilena;Leone;A911;243653178;
Giancarlo;Lombardi;A912;243663117;
Marina;Mancini;A914;243663119;
Gianluca;Mariani;A916;243663120;
Maura;Martini;A918;243858101;
Gianmarco;Marini;A919;243858107;
Milena;Marino;A920;243858110;
Gianpaolo;Martino;A922;243858115;
Miranda;Morelli;A925;244840195;
Giordano;Moretti;A929;244840196;
Monica;Neri;A931;244840197;
Giosuè;Palmieri;A930;244840198;
Nadia;Palumbo;A932;244840199;
Giuliano;Parisi;A937;244840200;
Natalia;Piazza;A940;244840201;
Giuseppe;Pellegrini;A941;244840202;
Nella;Rinaldi;A944;244840203;
Graziano;Riva;A945;244840204;
Nicoletta;Rizzi;A946;244840205;
Gregorio;Romano;A947;244840206;
Nunzia;Rossetti;A948;244840207;
Italo;Ruggiero;A949;244840208;
Oriana;Russo;A950;244840209;
Ivano;Sacco;A953;244840210;
Patrizia;Sartori;A954;244840211;
Jacopo;Santoro;A952;244840212;
Piera;Sorrentino;A955;244840213;
Lazzaro;Silvestri;A956;244840214;
Pierina;Testa;A957;244840215;
