,nome,cognome,nascita,osm_id,Unnamed: 4,data_nascita,c_nome,c_cognome,anno_nascita,mese_nascita,genere,giorno_nascita,num_giorno,cod_fisc,num,year_built,total_floors,code,fclass,name,type,area
17,Giuseppe,Moretti,A024,38558925,,2003-04-11 21:17:17.098038,GSPP,MRTT,03,D,0,11,11,MRTTGSPP03D11A024,76,1916,7,1500,building,Chiesa di San Giovanni Bosco,church,676
18,Valentina,Barbieri,A025,41956450,,1974-02-23 21:17:17.098038,VLNTN,BRBR,74,B,0,23,23,BRBRVLNTN74B23A025,74,1927,7,1500,building,,,158
19,Edoardo,Fontana,A026,41963283,,1977-10-27 21:17:17.098038,DRD,FNTN,77,R,0,27,27,FNTNDRD77R27A026,18,2002,3,1500,building,,,2806
20,Elena,Santoro,A027,41963284,,1993-09-08 21:17:17.098038,LN,SNTR,93,P,0,8,8,SNTRLN93P8A027,60,1967,3,1500,building,,,675
21,Giovanni,Mariani,A029,41963285,,1967-09-30 21:17:17.098038,GVNN,MRN,67,P,40,30,70,MRNGVNN67P70A029,16,1927,1,1500,building,,,420
22,Beatrice,Rinaldi,A028,41963286,,1964-02-10 21:17:17.098038,BTRC,RNLD,64,B,40,10,50,RNLDBTRC64B50A028,57,1970,2,1500,building,,,1324
23,Davide,Caruso,A032,41963287,,1968-01-18 21:17:17.098038,DVD,CRS,68,A,0,18,18,CRSDVD68A18A032,35,1901,2,1500,building,,apartments,992
24,Giuliana,Ferrara,A033,41963288,,2001-02-28 21:17:17.098038,GLN,FRRR,01,B,40,28,68,FRRRGLN01B68A033,46,1987,9,1500,building,,apartments,430
25,Federico,Galli,A034,59243220,,2003-10-10 21:17:17.098038,FDRC,GLL,03,R,40,10,50,GLLFDRC03R50A034,5,1917,9,1500,building,,industrial,16653
26,Sara,Martini,A035,74171820,,1988-09-21 21:17:17.098038,SR,MRTN,88,P,0,21,21,MRTNSR88P21A035,92,2010,2,1500,building,,apartments,737
27,Alessio,Leone,A039,74171822,,1989-09-06 21:17:17.098038,LSS,LN,89,P,40,6,46,LNLSS89P46A039,20,1907,6,1500,building,,,307
28,Eleonora,Gatti,A038,74171824,,2000-03-31 21:17:17.098038,LNR,GTT,00,C,0,31,31,GTTLNR00C31A038,88,1941,8,1500,building,,apartments,824
29,Antonio,Bianco,A040,74171825,,1989-10-19 21:17:17.098038,NTN,BNC,89,R,40,19,59,BNCNTN89R59A040,80,1964,5,1500,building,,apartments,422
30,Vittoria,Fabbri,A041,76095500,,1975-08-06 21:17:17.098038,VTTR,FBBR,75,M,0,6,6,FBBRVTTR75M6A041,81,1966,9,1500,building,,apartments,184
31,Tommaso,Sartori,A043,76095504,,1980-12-01 21:17:17.098038,TMMS,SRTR,80,T,0,1,1,SRTRTMMS80T1A043,33,1933,2,1500,building,,apartments,282
32,Francesca,Monti,A044,76095506,,1993-01-24 21:17:17.098038,FRNCSC,MNT,93,A,0,24,24,MNTFRNCSC93A24A044,52,1964,4,1500,building,,apartments,720
33,Simone,Villa,A045,76095508,,1981-06-07 21:17:17.098038,SMN,VLL,81,H,40,7,47,VLLSMN81H47A045,34,1979,7,1500,building,,apartments,521
34,Carolina,Amato,A050,76095509,,2001-09-18 21:17:17.098038,CRLN,MT,01,P,40,18,58,MTCRLN01P58A050,54,1950,8,1500,building,,,285
35,Marco,Marini,A051,76095510,,1969-01-04 21:17:17.098038,MRC,MRN,69,A,0,4,4,MRNMRC69A4A051,3,1918,3,1500,building,,,578
36,Chiaretta,De Santis,A048,76095511,,1978-11-20 21:17:17.098038,CHRTT,DSNTS,78,S,0,20,20,DSNTSCHRTT78S20A048,98,2015,6,1500,building,,,149
37,Filippo,Palumbo,A047,76095512,,1987-12-24 21:17:17.098038,FLPP,PLMB,87,T,0,24,24,PLMBFLPP87T24A047,43,1943,8,1500,building,,apartments,562
38,Teresa,Bernardi,A049,76095513,,1981-03-22 21:17:17.098038,TRS,BRNRD,81,C,0,22,22,BRNRDTRS81C22A049,37,1918,8,1500,building,,,178
39,Michele,Fiore,M211,76123863,,1984-10-03 21:17:17.098038,MCHL,FR,84,R,0,3,3,FRMCHL84R3M211,59,2018,3,1500,building,,,144
40,Angelica,Farina,A052,76123864,,1989-06-12 21:17:17.098038,NGLC,FRN,89,H,0,12,12,FRNNGLC89H12A052,14,1913,5,1500,building,,,131
41,Mattia,Ferri,A053,76123867,,1990-10-14 21:17:17.098038,MTT,FRR,90,R,0,14,14,FRRMTT90R14A053,86,1909,1,1500,building,,,154
42,Caterina,Pellegrini,A054,76123869,,2004-12-19 21:17:17.098038,CTRN,PLLGRN,04,T,40,19,59,PLLGRNCTRN04T59A054,99,1959,3,1500,building,,,70
43,Stefano,Damico,A055,76123870,,1994-10-18 21:17:17.098038,STFN,DMC,94,R,40,18,58,DMCSTFN94R58A055,25,1902,6,1500,building,,,78
44,Ludovica,Basile,A056,76123873,,1972-11-24 21:17:17.098038,LDVC,BSL,72,S,0,24,24,BSLLDVC72S24A056,93,1936,7,1500,building,,,259
45,Christian,Rossetti,A057,76123874,,2005-01-17 21:17:17.098038,CHRSTN,RSSTT,05,A,40,17,57,RSSTTCHRSTN05A57A057,55,1914,5,1500,building,,,186
46,Irene,Graziani,A058,76123879,,1996-12-05 21:17:17.098038,RN,GRZN,96,T,0,5,5,GRZNRN96T5A058,82,2011,8,1500,building,,apartments,670
47,Niccolò,Palmieri,A059,76123885,,1974-04-10 21:17:17.098038,NCCL,PLMR,74,D,40,10,50,PLMRNCCL74D50A059,98,1909,9,1500,building,,,92
48,Rebecca,Donati,A060,76123887,,1994-02-11 21:17:17.098038,RBCC,DNT,94,B,0,11,11,DNTRBCC94B11A060,1,1942,1,1500,building,,,356
49,Raffaele,Battaglia,A061,76123889,,1990-04-14 21:17:17.098038,RFFL,BTTGL,90,D,0,14,14,BTTGLRFFL90D14A061,52,1921,6,1500,building,,,230
50,Elisa,Martino,A062,76123893,,1979-11-18 21:17:17.098038,LS,MRTN,79,S,0,18,18,MRTNLS79S18A062,37,1953,4,1500,building,,,197
51,Daniele,Rizzi,A064,76123897,,2003-01-22 21:17:17.098038,DNL,RZZ,03,A,40,22,62,RZZDNL03A62A064,56,1900,6,1500,building,,,166
52,Veronica,Neri,A065,76123900,,1981-08-02 21:17:17.098038,VRNC,NR,81,M,0,2,2,NRVRNC81M2A065,57,1947,3,1500,building,,,133
53,Fabio,Vitale,A067,76123902,,1985-10-06 21:17:17.098038,FB,VTL,85,R,0,6,6,VTLFB85R6A067,8,1906,2,1500,building,,garages,293
54,Gloria,De Angelis,A068,76131018,,1965-12-03 21:17:17.098038,GLR,DNGLS,65,T,0,3,3,DNGLSGLR65T3A068,14,1902,5,1500,building,,school,1428
55,Paolo,Serra,A069,76131019,,1990-04-27 21:17:17.098038,PL,SRR,90,D,0,27,27,SRRPL90D27A069,62,1989,6,1500,building,,,1194
56,Benedetta,Coppola,A070,76953925,,1980-01-29 21:17:17.098038,BNDTT,CPPL,80,A,0,29,29,CPPLBNDTT80A29A070,93,1942,4,1500,building,,kiosk,42
57,Enrico,Testa,A071,77385830,,1967-02-18 21:17:17.098038,NRC,TST,67,B,40,18,58,TSTNRC67B58A071,75,2008,1,1500,building,,school,14285
58,Adelaide,Piazza,A072,77753684,,1994-04-19 21:17:17.098038,DLD,PZZ,94,D,40,19,59,PZZDLD94D59A072,25,1979,4,1500,building,,apartments,607
59,Manuel,Ferraro,A074,77753686,,1970-07-22 21:17:17.098038,MNL,FRRR,70,L,40,22,62,FRRRMNL70L62A074,6,1989,1,1500,building,,apartments,580
60,Rosanna,Valentini,H848,77753687,,1987-08-02 21:17:17.098038,RSNN,VLNTN,87,M,40,2,42,VLNTNRSNN87M42H848,35,1923,7,1500,building,,apartments,627
61,Vincenzo,Bianchini,A075,77753689,,1992-01-30 21:17:17.098038,VNCNZ,BNCHN,92,A,40,30,70,BNCHNVNCNZ92A70A075,19,1986,1,1500,building,,apartments,474
62,Marika,Benedetti,A076,77753690,,1984-06-29 21:17:17.098038,MRK,BNDTT,84,H,0,29,29,BNDTTMRK84H29A076,19,1919,6,1500,building,,apartments,409
63,Valerio,Parisi,A077,77753691,,1981-03-21 21:17:17.098038,VLR,PRS,81,C,40,21,61,PRSVLR81C61A077,94,2002,8,1500,building,,apartments,474
64,Marta,Sacco,A080,77753692,,1986-01-09 21:17:17.098038,MRT,SCC,86,A,0,9,9,SCCMRT86A9A080,49,1916,7,1500,building,,apartments,583
65,Cristiano,De Rosa,A082,77753693,,1968-08-03 21:17:17.098038,CRSTN,DRS,68,M,40,3,43,DRSCRSTN68M43A082,73,1952,9,1500,building,,apartments,774
66,Isabella,Ferretti,A083,77753696,,2000-11-30 21:17:17.098038,SBLL,FRRTT,00,S,0,30,30,FRRTTSBLL00S30A083,89,1957,1,1500,building,,apartments,632
67,Michele,Morelli,A084,77753698,,1980-07-14 21:17:17.098038,MCHL,MRLL,80,L,0,14,14,MRLLMCHL80L14A084,46,1957,8,1500,building,,apartments,386
68,Angelina,Russo,A085,77753699,,2001-10-11 21:17:17.098038,NGLN,RSS,01,R,40,11,51,RSSNGLN01R51A085,21,2000,9,1500,building,,apartments,409
69,Massimo,Contini,A087,77765740,,2002-12-27 21:17:17.098038,MSSM,CNTN,02,T,40,27,67,CNTNMSSM02T67A087,18,1918,6,1500,building,,,644
70,Benedetta,Mazzoli,A088,77765741,,1965-03-26 21:17:17.098038,BNDTT,MZZL,65,C,40,26,66,MZZLBNDTT65C66A088,95,2015,2,1500,building,,apartments,345
71,Renato,Colombo,A089,77765742,,1980-06-21 21:17:17.098038,RNT,CLMB,80,H,0,21,21,CLMBRNT80H21A089,73,1927,9,1500,building,,apartments,528
72,Bianca,Mancini,A091,77765745,,1990-10-07 21:17:17.098038,BNC,MNCN,90,R,0,7,7,MNCNBNC90R7A091,3,1963,8,1500,building,,apartments,513
73,Salvatore,Rosati,A092,77765746,,1980-12-30 21:17:17.098038,SLVTR,RST,80,T,40,30,70,RSTSLVTR80T70A092,72,1926,7,1500,building,,apartments,562
74,Carlotta,De Luca,A093,77765747,,1975-12-10 21:17:17.098038,CRLTT,DLC,75,T,0,10,10,DLCCRLTT75T10A093,3,1995,4,1500,building,,apartments,348
75,Giulio,Costa,A096,77767795,,1994-06-21 21:17:17.098038,GL,CST,94,H,40,21,61,CSTGL94H61A096,23,1929,8,1500,building,,service,488
76,Letizia,Gallo,A097,77917810,,1997-12-31 21:17:17.098038,LTZ,GLL,97,T,40,31,71,GLLLTZ97T71A097,14,2014,9,1500,building,,office,1151
77,Pietro,Santoro,A098,77917811,,1968-11-09 21:17:17.098038,PTR,SNTR,68,S,40,9,49,SNTRPTR68S49A098,34,2000,6,1500,building,,apartments,211
78,Roberta,Caputo,A100,77917814,,2001-09-11 21:17:17.098038,RBRT,CPT,01,P,40,11,51,CPTRBRT01P51A100,59,1917,4,1500,building,,apartments,694
79,Giorgio,D'Angelo,A102,77917816,,1991-09-11 21:17:17.098038,GRG,DNGL,91,P,0,11,11,DNGLGRG91P11A102,71,1976,4,1500,building,,residential,366
80,Alessia,Benedetto,A103,77917817,,1994-03-18 21:17:17.098038,LSS,BNDTT,94,C,40,18,58,BNDTTLSS94C58A103,75,1922,9,1500,building,,residential,366
81,Danilo,Marchetti,A101,78067076,,1994-05-16 21:17:17.098038,DNL,MRCHTT,94,E,0,16,16,MRCHTTDNL94E16A101,53,1950,1,1500,building,,,400
82,Elena,D'Amico,A105,78067077,,1966-07-06 21:17:17.098038,LN,DMC,66,L,0,6,6,DMCLN66L6A105,69,1980,1,1500,building,,,146
83,Umberto,Moretti,A106,78067078,,1982-01-17 21:17:17.098038,MBRT,MRTT,82,A,0,17,17,MRTTMBRT82A17A106,96,1992,2,1500,building,,,173
84,Aurora,Silvestri,A107,78067079,,1979-02-14 21:17:17.098038,RR,SLVSTR,79,B,40,14,54,SLVSTRRR79B54A107,62,2009,7,1500,building,,apartments,508
85,Fernando,Rinaldi,A109,78067080,,2001-08-24 21:17:17.098038,FRNND,RNLD,01,M,40,24,64,RNLDFRNND01M64A109,53,1970,1,1500,building,,,213
86,Giuliana,Montanari,A110,78473944,,1973-04-14 21:17:17.098038,GLN,MNTNR,73,D,40,14,54,MNTNRGLN73D54A110,38,1991,6,1500,building,,,1036
87,Dario,Caruso,A111,78473945,,1976-03-16 21:17:17.098038,DR,CRS,76,C,40,16,56,CRSDR76C56A111,9,1959,1,1500,building,,apartments,822
88,Ginevra,Gatti,A112,78473947,,1978-12-24 21:17:17.098038,GNVR,GTT,78,T,0,24,24,GTTGNVR78T24A112,57,1978,8,1500,building,,apartments,464
89,Rocco,Battaglia,A113,78473948,,1964-01-16 21:17:17.098038,RCC,BTTGL,64,A,0,16,16,BTTGLRCC64A16A113,4,1948,5,1500,building,,apartments,465
90,Carlotta,Silvestri,A116,78473949,,1992-12-29 21:17:17.098038,CRLTT,SLVSTR,92,T,0,29,29,SLVSTRCRLTT92T29A116,4,1959,4,1500,building,,apartments,230
91,Gino,Palumbo,A117,78473950,,1983-12-19 21:17:17.098038,GN,PLMB,83,T,40,19,59,PLMBGN83T59A117,40,1958,1,1500,building,,apartments,822
92,Eleonora,Fiore,A115,78473951,,1990-04-08 21:17:17.098038,LNR,FR,90,D,0,8,8,FRLNR90D8A115,95,1988,7,1500,building,,apartments,230
93,Renzo,Sartori,A118,80458278,,1988-02-03 21:17:17.098038,RNZ,SRTR,88,B,40,3,43,SRTRRNZ88B43A118,40,1928,1,1500,building,,apartments,316
94,Serena,Damico,A119,80458279,,1992-10-21 21:17:17.098038,SRN,DMC,92,R,40,21,61,DMCSRN92R61A119,74,2016,3,1500,building,,apartments,483
95,Dante,Villa,A120,80458280,,1973-04-02 21:17:17.098038,DNT,VLL,73,D,40,2,42,VLLDNT73D42A120,100,1974,7,1500,building,,apartments,358
96,Gabriella,Coppola,A121,80458281,,1982-02-15 21:17:17.098038,GBRLL,CPPL,82,B,40,15,55,CPPLGBRLL82B55A121,2,1939,6,1500,building,,apartments,316
97,Giosuè,Farina,A122,80458282,,1992-04-11 21:17:17.098038,GS,FRN,92,D,40,11,51,FRNGS92D51A122,65,1946,8,1500,building,,apartments,566
98,Giovanna,Lombardo,A123,80458284,,1968-04-21 21:17:17.098038,GVNN,LMBRD,68,D,40,21,61,LMBRDGVNN68D61A123,72,1997,1,1500,building,,apartments,328
99,Marcello,Mariani,A124,80458286,,1964-04-22 21:17:17.098038,MRCLL,MRN,64,D,0,22,22,MRNMRCLL64D22A124,31,1902,1,1500,building,,apartments,319
100,Giada,Ferri,A125,80458287,,1995-08-26 21:17:17.098038,GD,FRR,95,M,40,26,66,FRRGD95M66A125,58,1992,7,1500,building,,apartments,290
101,Achille,Monti,A126,80458290,,1996-12-03 21:17:17.098038,CHLL,MNT,96,T,40,3,43,MNTCHLL96T43A126,95,1989,7,1500,building,,apartments,357
102,Lucrezia,Neri,A127,80458291,,1988-10-19 21:17:17.098038,LCRZ,NR,88,R,40,19,59,NRLCRZ88R59A127,5,1912,9,1500,building,,apartments,650
103,Agostino,Pellegrini,A128,80458292,,1969-02-24 21:17:17.098038,GSTN,PLLGRN,69,B,40,24,64,PLLGRNGSTN69B64A128,11,1925,8,1500,building,,apartments,399
104,Tiziana,Basile,A131,80458294,,1983-02-06 21:17:17.098038,TZN,BSL,83,B,0,6,6,BSLTZN83B6A131,76,1984,9,1500,building,,apartments,1811
105,Alfonso,Rossetti,A132,81647440,,1976-06-19 21:17:17.098038,LFNS,RSSTT,76,H,40,19,59,RSSTTLFNS76H59A132,4,1934,2,1500,building,Fornace Mariani,,715
106,Rachele,Graziani,A129,81648354,,1990-12-06 21:17:17.098038,RCHL,GRZN,90,T,40,6,46,GRZNRCHL90T46A129,69,2014,2,1500,building,,apartments,418
107,Armando,Palmieri,A130,81648356,,1983-09-03 21:17:17.098038,RMND,PLMR,83,P,40,3,43,PLMRRMND83P43A130,92,1924,5,1500,building,,,207
108,Teresa,Donati,A134,81648357,,1970-07-23 21:17:17.098038,TRS,DNT,70,L,40,23,63,DNTTRS70L63A134,33,2016,5,1500,building,,apartments,1464
109,Augusto,Martino,A137,81648365,,1989-01-08 21:17:17.098038,GST,MRTN,89,A,40,8,48,MRTNGST89A48A137,82,2015,7,1500,building,,apartments,479
110,Antonella,Rizzi,A135,81648368,,2003-06-28 21:17:17.098038,NTNLL,RZZ,03,H,40,28,68,RZZNTNLL03H68A135,67,1961,3,1500,building,,apartments,933
111,Brando,Vitale,A138,81648369,,1985-11-02 21:17:17.098038,BRND,VTL,85,S,40,2,42,VTLBRND85S42A138,20,1972,6,1500,building,,,214
112,Paola,De Angelis,A139,81648371,,1974-02-16 21:17:17.098038,PL,DNGLS,74,B,40,16,56,DNGLSPL74B56A139,68,2005,1,1500,building,,apartments,625
113,Calogero,Serra,A143,95111049,,1968-11-28 21:17:17.098038,CLGR,SRR,68,S,0,28,28,SRRCLGR68S28A143,25,1915,4,1500,building,,,172
114,Livia,Testa,A145,95111419,,1987-03-11 21:17:17.098038,LV,TST,87,C,0,11,11,TSTLV87C11A145,66,1919,5,1500,building,,,2517
115,Carmelo,Piazza,A146,96071977,,1969-04-25 21:17:17.098038,CRML,PZZ,69,D,40,25,65,PZZCRML69D65A146,99,1994,6,1500,building,,apartments,299
116,Noemi,Ferraro,A149,96071978,,1990-04-06 21:17:17.098038,NM,FRRR,90,D,0,6,6,FRRRNM90D6A149,76,2004,9,1500,building,,apartments,393
117,Ciro,Valentini,A150,96071981,,2004-09-12 21:17:17.098038,CR,VLNTN,04,P,0,12,12,VLNTNCR04P12A150,50,1999,7,1500,building,,apartments,253
118,Ambra,Bianchini,A153,96071982,,1977-01-17 21:17:17.098038,MBR,BNCHN,77,A,40,17,57,BNCHNMBR77A57A153,18,2012,6,1500,building,,apartments,279
119,Costantino,Benedetti,A154,96071983,,1992-02-28 21:17:17.098038,CSTNTN,BNDTT,92,B,0,28,28,BNDTTCSTNTN92B28A154,20,1977,8,1500,building,,apartments,948
120,Arianna,Parisi,A155,96071984,,1983-10-26 21:17:17.098038,RNN,PRS,83,R,0,26,26,PRSRNN83R26A155,91,1989,4,1500,building,,apartments,363
121,Damiano,Sacco,A158,96071985,,1995-12-26 21:17:17.098038,DMN,SCC,95,T,0,26,26,SCCDMN95T26A158,69,1915,8,1500,building,,,513
122,Celeste,De Rosa,A157,96071986,,1985-07-01 21:17:17.098038,CLST,DRS,85,L,0,1,1,DRSCLST85L1A157,15,1932,2,1500,building,,apartments,583
123,Daniele,Ferretti,A159,96071987,,1970-11-15 21:17:17.098038,DNL,FRRTT,70,S,0,15,15,FRRTTDNL70S15A159,81,1910,1,1500,building,,apartments,843
124,Donatella,Morelli,A160,96071988,,2001-02-17 21:17:17.098038,DNTLL,MRLL,01,B,0,17,17,MRLLDNTLL01B17A160,81,1958,8,1500,building,,apartments,305
125,Domenico,Lombardi,A161,96071989,,1969-09-13 21:17:17.098038,DMNC,LMBRD,69,P,0,13,13,LMBRDDMNC69P13A161,40,1931,7,1500,building,,apartments,251
126,Elettra,Russo,A162,96071991,,1985-10-12 21:17:17.098038,LTTR,RSS,85,R,40,12,52,RSSLTTR85R52A162,61,1927,8,1500,building,,residential,718
127,Emidio,Contini,A163,96071992,,1972-02-24 21:17:17.098038,MD,CNTN,72,B,40,24,64,CNTNMD72B64A163,20,1988,3,1500,building,,apartments,583
128,Emanuela,Mazzoli,A164,96071994,,2002-12-10 21:17:17.098038,MNL,MZZL,02,T,0,10,10,MZZLMNL02T10A164,58,2013,2,1500,building,,apartments,279
129,Emilio,Rosati,A166,96071995,,1975-11-12 21:17:17.098038,ML,RST,75,S,40,12,52,RSTML75S52A166,35,1975,1,1500,building,Fornace,,665
130,Fiorella,De Luca,A165,96071997,,1994-06-27 21:17:17.098038,FRLL,DLC,94,H,40,27,67,DLCFRLL94H67A165,61,1993,9,1500,building,,apartments,407
131,Ercole,Costa,A167,96071998,,1973-02-08 21:17:17.098038,RCL,CST,73,B,40,8,48,CSTRCL73B48A167,72,1936,9,1500,building,,,436
132,Flavia,Gallo,A171,96071999,,1987-01-22 21:17:17.098038,FLV,GLL,87,A,0,22,22,GLLFLV87A22A171,71,1950,7,1500,building,,apartments,267
133,Ernesto,Santoro,A172,96072000,,1964-08-18 21:17:17.098038,RNST,SNTR,64,M,0,18,18,SNTRRNST64M18A172,57,2009,2,1500,building,,apartments,234
134,Francesca,Caputo,A173,96072002,,2004-07-11 21:17:17.098038,FRNCSC,CPT,04,L,0,11,11,CPTFRNCSC04L11A173,71,1946,4,1500,building,,apartments,290
135,Ezio,D'Angelo,A175,96072003,,2003-06-29 21:17:17.098038,Z,DNGL,03,H,0,29,29,DNGLZ03H29A175,12,1987,4,1500,building,,,297
136,Gaia,Benedetto,A176,96072004,,1996-01-16 21:17:17.098038,G,BNDTT,96,A,0,16,16,BNDTTG96A16A176,59,1932,5,1500,building,,,127
137,Fabiano,Marchetti,A177,96072005,,2005-11-24 21:17:17.098038,FBN,MRCHTT,05,S,0,24,24,MRCHTTFBN05S24A177,91,2010,6,1500,building,,apartments,287
138,Gilda,D'Amico,A178,96072006,,1982-07-06 21:17:17.098038,GLD,DMC,82,L,0,6,6,DMCGLD82L6A178,53,1964,2,1500,building,,apartments,261
139,Fabrizio,Moretti,A179,96072007,,1984-01-07 21:17:17.098038,FBRZ,MRTT,84,A,40,7,47,MRTTFBRZ84A47A179,60,1987,9,1500,building,,,273
140,Grazia,Silvestri,A180,96072008,,1983-08-01 21:17:17.098038,GRZ,SLVSTR,83,M,0,1,1,SLVSTRGRZ83M1A180,45,1922,2,1500,building,,apartments,598
141,Federico,Rinaldi,A182,96072009,,1984-04-11 21:17:17.098038,FDRC,RNLD,84,D,0,11,11,RNLDFDRC84D11A182,11,1961,1,1500,building,,,389
142,Ilaria,Montanari,A183,96072010,,1974-08-11 21:17:17.098038,LR,MNTNR,74,M,0,11,11,MNTNRLR74M11A183,27,1994,1,1500,building,,apartments,294
143,Ferruccio,Caruso,A181,96072011,,1987-04-07 21:17:17.098038,FRRCC,CRS,87,D,40,7,47,CRSFRRCC87D47A181,99,1909,3,1500,building,,apartments,364
144,Imma,Gatti,A184,96072012,,2004-03-14 21:17:17.098038,MM,GTT,04,C,40,14,54,GTTMM04C54A184,100,1934,3,1500,building,,,267
145,Filippo,Battaglia,A185,96072013,,1975-04-19 21:17:17.098038,FLPP,BTTGL,75,D,0,19,19,BTTGLFLPP75D19A185,17,1922,5,1500,building,,apartments,624
146,Jolanda,Silvestri,A186,96072014,,1990-03-06 21:17:17.098038,JLND,SLVSTR,90,C,40,6,46,SLVSTRJLND90C46A186,64,1921,3,1500,building,,residential,718
147,Fortunato,Palumbo,A187,96072017,,2005-04-17 21:17:17.098038,FRTNT,PLMB,05,D,0,17,17,PLMBFRTNT05D17A187,37,1959,6,1500,building,,apartments,223
148,Letizia,Fiore,A188,96072018,,1985-08-13 21:17:17.098038,LTZ,FR,85,M,40,13,53,FRLTZ85M53A188,95,1954,8,1500,building,,apartments,380
149,Fulvio,Sartori,A189,96072021,,1976-01-31 21:17:17.098038,FLV,SRTR,76,A,40,31,71,SRTRFLV76A71A189,19,1970,5,1500,building,,apartments,273
150,Loredana,Damico,A191,96072023,,1968-08-11 21:17:17.098038,LRDN,DMC,68,M,0,11,11,DMCLRDN68M11A191,68,1967,9,1500,building,,apartments,235
151,Gavino,Villa,A192,96072024,,1966-12-24 21:17:17.098038,GVN,VLL,66,T,0,24,24,VLLGVN66T24A192,31,1963,5,1500,building,,residential,718
152,Maddalena,Coppola,A193,96072025,,1973-12-04 21:17:17.098038,MDDLN,CPPL,73,T,0,4,4,CPPLMDDLN73T4A193,65,1918,7,1500,building,,apartments,248
153,Gennaro,Farina,A194,96072026,,1981-03-24 21:17:17.098038,GNNR,FRN,81,C,0,24,24,FRNGNNR81C24A194,53,1951,5,1500,building,,apartments,280
154,Marcella,Lombardo,A201,96072027,,1980-07-27 21:17:17.098038,MRCLL,LMBRD,80,L,40,27,67,LMBRDMRCLL80L67A201,76,2000,1,1500,building,,apartments,630
155,Gerardo,De Santis,A195,96072028,,1979-01-18 21:17:17.098038,GRRD,DSNTS,79,A,40,18,58,DSNTSGRRD79A58A195,44,2004,6,1500,building,,apartments,415
156,Maria,Bernardi,A196,96072029,,1968-07-21 21:17:17.098038,MR,BRNRD,68,L,40,21,61,BRNRDMR68L61A196,90,2019,6,1500,building,,apartments,248
